WaferID,Batch,BatchIdx,Shift,F1_Tool,F1_Thickness_um,F1_TTV_um,F1_Warp_um,SCRAP_F1,F2_Tool,F2_RCA1_Temp_C,F2_RCA1_Time_s,F2_RCA2_Temp_C,F2_HFDip_Time_s,F2_Particles,F2_MetalContam_ppb,SCRAP_F2,F3_Tool,F3_OxTemp_C,F3_OxTime_min,F3_O2Flow_slm,F3_Thickness_nm,F3_ThicknessDev_nm,F3_Uniformity_pct,F3_KLA_Defects,SCRAP_F3,F4_Tool,F4_CVD_Temp_C,F4_Pressure_mTorr,F4_SiH4_sccm,F4_NH3_sccm,F4_SiN_Thickness_nm,F4_RefractiveIndex,SCRAP_F4,F5_Tool,F5_UVDose_mJ,F5_FocusOffset_nm,F5_BakeTemp_C,F5_DevTime_s,F5_CD_nm,F5_Overlay_nm,F5_KLA_Defects,SCRAP_F5,F6_Tool,F6_EtchTime_s,F6_EtchTemp_C,F6_RFPower_W,F6_CF4_sccm,F6_Pressure_mTorr,F6_Selectivity,F6_Uniformity_pct,F6_ProfileAngle_deg,F6_KLA_Defects,SCRAP_F6,F7_Tool,F7_O2Power_W,F7_StripTemp_C,F7_Time_s,F7_ResidualResist_pct,SCRAP_F7,F8_Tool,F8_Dose_ions_cm2,F8_Energy_keV,F8_Tilt_deg,F8_BeamCurrent_mA,F8_SheetRes_ohmSq,SCRAP_F8,F9_Tool,F9_PeakTemp_C,F9_RampRate_Cs,F9_SoakTime_s,F9_Activation_pct,SCRAP_F9,F10_Tool,F10_Pressure_psi,F10_Platen_rpm,F10_SlurryFlow_mlmin,F10_Time_s,F10_MRR_nmmin,F10_Dishing_nm,F10_Uniformity_pct,F10_KLA_Defects,SCRAP_F10,F11_Tool,F11_DCPower_kW,F11_Ar_sccm,F11_Pressure_mTorr,F11_CuThickness_nm,F11_Resistivity_uOhmcm,F11_StepCoverage_pct,SCRAP_F11,F12_Tool,F12_CurrentDensity_mAcm2,F12_BathTemp_C,F12_Additive_ppm,F12_PlatingTime_s,F12_VoidCount,F12_Overburden_nm,SCRAP_F12,F13_Tool,F13_TargetPower_kW,F13_N2_sccm,F13_Pressure_mTorr,F13_TaNThickness_nm,F13_StepCoverage_pct,F13_BarrierIntegrity,SCRAP_F13,Chem_HF_Reactivity,Chem_SC1_Efficiency,Chem_Cu_Potential_V,Chem_SiN_PlasmaReactivity,Chem_SelectivityIndex,TotalScraps,SCRAP_FINAL
230,BATCH_010,10,Night,DISCO_DSC2,728.2,0.76,9.8,0,AKRION_GAMMA,79.5,587.0,79.3,34.0,18,0.58,0,TEL_INDY_PLUS,1010.1,47.6,5.24,91.89,8.11,2.34,7,1,AMAT_PRODUCER,755.9,230.9,104.3,469.0,80.61,2.013,0,ASML_PAS5500,31.72,59.7,109.8,60.9,91.54,7.4,4,0,AMAT_DPSII,43.2,58.0,783.9,82.54,97.7,10.13,1.88,90.4,3,0,IRIDIA_RF,1339.7,242.8,207.0,0.232,0,AXCELIS_OPTIMA,992166884901014.0,38.69,7.17,14.62,80.11,0,MATTSON_HELIOS,1045.5,73.64,8.3,83.12,0,EBARA_FREX,4.25,58.2,214.0,86.8,115.04,14.93,2.6,7,0,AMAT_ENDURA,12.24,46.8,2.65,150.2,1.795,85.58,0,SEMITOOL_EQUINOX,18.99,24.8,7.5,111.4,1,330.1,0,ASM_XP_PLUS,7.58,33.0,2.01,8.67,84.85,Good,0,38.3003,88.75,0.3393,0.969,9.974,1,1
231,BATCH_010,10,Night,DISCO_DSC2,719.2,1.38,4.1,0,AKRION_GAMMA,79.4,648.0,76.6,32.3,16,0.607,0,TEL_INDY_PLUS,1005.2,62.4,5.44,102.15,2.15,2.28,8,0,AMAT_PRODUCER,772.3,258.0,106.52,475.0,80.56,2.018,0,ASML_PAS5500,27.79,-107.7,110.9,55.5,92.39,14.6,3,0,AMAT_DPSII,45.3,57.3,785.4,78.08,96.8,10.16,2.78,91.21,3,0,IRIDIA_RF,1500.1,223.2,181.0,0.263,0,AXCELIS_OPTIMA,1062525652894364.0,39.55,6.77,14.56,72.89,0,MATTSON_HELIOS,1028.2,80.06,10.5,73.72,1,EBARA_FREX,4.76,62.9,206.4,87.3,161.7,3.14,2.08,4,0,AMAT_ENDURA,11.44,48.7,2.79,153.2,1.653,85.34,0,SEMITOOL_EQUINOX,22.37,23.8,8.27,114.3,0,318.6,0,ASM_XP_PLUS,7.49,32.2,1.92,10.32,86.25,Good,0,37.484,90.04,0.3414,0.966,9.917,1,0
232,BATCH_010,10,Afternoon,DISCO_DSC2,725.9,0.65,0.7,0,AKRION_GAMMA,78.8,604.0,77.3,27.3,12,0.08,0,TEL_INDY_PLUS,990.5,49.7,5.21,87.22,12.78,2.03,6,1,AMAT_PRODUCER,736.7,249.6,91.61,521.1,80.45,2.006,0,ASML_PAS5500,31.34,89.7,109.7,64.1,88.92,7.1,3,0,AMAT_DPSII,43.6,56.8,816.2,78.89,109.8,10.13,2.48,89.77,2,0,IRIDIA_RF,1450.2,233.1,184.0,0.462,0,AXCELIS_OPTIMA,983932281202668.0,38.79,6.64,14.11,76.5,0,MATTSON_HELIOS,1049.8,78.03,11.4,85.94,0,EBARA_FREX,5.03,52.3,216.4,89.9,123.75,11.3,2.1,5,0,AMAT_ENDURA,12.43,46.3,3.62,147.11,1.925,90.84,0,SEMITOOL_EQUINOX,19.1,25.7,9.02,132.2,0,338.9,0,ASM_XP_PLUS,7.73,34.8,2.03,9.69,90.75,Good,0,36.9095,93.36,0.3394,1.069,10.239,1,0
233,BATCH_010,10,Night,DISCO_DSC2,729.2,0.91,5.8,0,AKRION_GAMMA,76.8,569.0,79.7,29.8,16,0.548,0,TEL_INDY_PLUS,1010.6,60.8,4.66,104.87,4.87,2.4,7,0,AMAT_PRODUCER,763.7,248.2,93.67,506.3,85.27,1.989,0,ASML_PAS5500,32.07,124.7,109.4,64.9,90.99,12.8,6,0,AMAT_DPSII,48.2,61.4,796.0,80.35,108.7,9.94,3.17,90.31,4,0,IRIDIA_RF,1459.2,240.5,180.0,0.338,0,AXCELIS_OPTIMA,1018460472004066.0,38.37,7.16,15.16,,0,MATTSON_HELIOS,1056.1,74.68,9.0,89.4,0,EBARA_FREX,4.51,62.6,209.5,83.9,137.41,5.96,1.72,3,0,AMAT_ENDURA,11.37,48.7,2.58,154.85,1.845,90.48,0,SEMITOOL_EQUINOX,19.44,25.2,6.57,116.3,1,334.9,0,ASM_XP_PLUS,7.82,27.7,1.97,9.38,91.8,Good,0,42.4707,90.56,0.3396,1.037,9.842,0,0
234,BATCH_010,10,Night,DISCO_DSC2,721.7,0.33,2.5,0,AKRION_GAMMA,80.4,580.0,77.7,34.4,21,1.259,1,TEL_INDY_PLUS,999.0,58.0,4.66,96.59,3.41,4.08,5,0,AMAT_PRODUCER,751.8,258.8,103.11,449.9,74.18,2.051,0,ASML_PAS5500,27.52,61.6,109.4,59.3,94.12,11.9,5,0,AMAT_DPSII,39.9,62.7,789.1,68.08,99.2,9.89,2.93,89.08,5,0,IRIDIA_RF,1455.5,254.9,182.0,0,0,AXCELIS_OPTIMA,999320833365289.0,39.66,6.83,14.69,79.35,0,MATTSON_HELIOS,1044.3,74.85,9.7,82.3,0,EBARA_FREX,4.38,58.5,247.8,84.1,143.76,-0.51,2.07,5,0,AMAT_ENDURA,12.44,47.4,3.24,144.0,1.832,83.81,0,SEMITOOL_EQUINOX,19.49,24.5,8.18,113.9,0,313.8,0,ASM_XP_PLUS,8.25,29.4,2.36,9.98,91.18,Good,0,44.1583,83.74,0.3397,0.982,9.483,1,0
235,BATCH_010,10,Afternoon,DISCO_DSC2,723.0,0.26,1.3,0,AKRION_GAMMA,79.3,607.0,78.0,31.0,12,0.649,0,TEL_INDY_PLUS,987.4,54.8,5.09,92.33,7.67,2.1,9,0,AMAT_PRODUCER,739.8,256.1,99.38,521.2,82.0,2.032,0,ASML_PAS5500,31.46,-10.5,110.9,56.1,91.56,5.7,0,0,AMAT_DPSII,42.7,59.9,789.6,68.59,107.4,10.03,2.8,88.43,3,0,IRIDIA_RF,1685.5,226.4,204.0,0.219,0,AXCELIS_OPTIMA,966933885078250.0,42.25,7.31,15.18,79.92,0,MATTSON_HELIOS,1063.2,79.48,10.4,94.12,0,EBARA_FREX,3.86,61.6,211.4,94.9,109.14,8.12,2.63,5,0,AMAT_ENDURA,12.69,53.0,2.89,150.94,1.837,79.2,0,SEMITOOL_EQUINOX,20.38,24.3,8.45,118.2,1,294.7,0,ASM_XP_PLUS,7.16,30.3,2.08,11.28,87.46,Good,0,40.5881,92.31,0.3402,1.023,9.874,0,0
236,BATCH_010,10,Night,DISCO_DSC2,727.1,0.32,0.7,0,AKRION_GAMMA,78.2,631.0,80.0,27.0,9,0.598,0,TEL_INDY_PLUS,1004.2,61.4,4.91,103.28,3.28,2.34,7,0,AMAT_PRODUCER,741.2,222.0,97.22,556.1,73.68,2.0,1,ASML_PAS5500,29.19,10.1,111.6,55.7,94.14,0.7,6,0,AMAT_DPSII,41.6,59.1,789.7,78.87,103.6,10.07,3.18,87.87,6,0,IRIDIA_RF,1425.4,236.1,154.0,0.391,0,AXCELIS_OPTIMA,1021071368142436.0,41.18,6.82,14.44,75.34,0,MATTSON_HELIOS,1042.4,71.01,7.6,82.78,0,EBARA_FREX,4.44,60.8,194.6,97.3,138.48,4.42,1.86,6,0,AMAT_ENDURA,11.6,50.3,2.95,145.47,1.893,84.65,0,SEMITOOL_EQUINOX,20.0,25.4,7.94,121.9,0,271.2,0,ASM_XP_PLUS,7.76,31.1,2.22,10.18,89.28,Good,0,39.6118,95.46,0.34,1.005,9.653,1,0
237,BATCH_010,10,Morning,DISCO_DSC2,720.5,0.6,3.1,0,AKRION_GAMMA,76.4,616.0,77.5,27.0,3,0.48,0,TEL_INDY_PLUS,1012.6,53.5,4.59,97.08,2.92,2.42,0,0,AMAT_PRODUCER,763.1,226.7,101.41,520.7,77.94,2.011,0,ASML_PAS5500,28.82,-23.0,107.3,56.6,91.56,10.8,4,0,AMAT_DPSII,46.9,55.0,814.4,85.51,120.2,10.22,2.97,88.42,1,0,IRIDIA_RF,1509.7,243.1,203.0,0,0,AXCELIS_OPTIMA,1002684319641922.0,38.18,7.13,15.49,80.13,0,MATTSON_HELIOS,1057.3,69.54,11.0,88.72,0,EBARA_FREX,5.02,60.7,229.4,86.2,156.32,11.21,1.61,8,0,AMAT_ENDURA,12.03,48.6,2.52,142.57,1.812,89.94,0,SEMITOOL_EQUINOX,19.41,27.3,7.85,120.4,0,330.0,0,ASM_XP_PLUS,8.51,28.5,1.86,8.99,88.48,Good,0,34.8998,95.94,0.3396,1.116,10.061,0,0
238,BATCH_010,10,Morning,DISCO_DSC2,716.5,0.54,2.6,0,AKRION_GAMMA,78.1,570.0,77.7,31.3,7,0.456,0,TEL_INDY_PLUS,1008.2,64.7,5.13,105.73,5.73,3.22,4,0,AMAT_PRODUCER,759.2,251.7,92.75,552.9,75.79,1.976,0,ASML_PAS5500,28.75,5.2,106.3,61.5,95.68,2.8,1,0,AMAT_DPSII,41.5,58.1,805.3,72.59,97.3,10.08,3.6,90.66,2,0,IRIDIA_RF,1486.7,269.2,184.0,0,0,AXCELIS_OPTIMA,974710673444445.0,38.88,7.3,16.8,78.21,0,MATTSON_HELIOS,1062.2,80.33,9.0,90.1,0,EBARA_FREX,4.34,61.9,184.3,82.7,127.33,14.31,2.11,7,0,AMAT_ENDURA,11.64,54.0,2.77,154.61,1.832,82.61,0,SEMITOOL_EQUINOX,20.48,24.7,8.01,116.0,0,304.2,0,ASM_XP_PLUS,8.31,30.6,2.1,9.41,88.02,Good,0,38.418,96.49,0.3403,0.993,9.507,0,0
239,BATCH_010,10,Night,DISCO_DSC2,724.8,0.34,0.3,0,AKRION_GAMMA,78.3,638.0,76.5,33.0,12,0.761,0,TEL_INDY_PLUS,1003.5,54.6,5.02,93.43,6.57,2.49,5,0,AMAT_PRODUCER,740.1,261.1,100.23,452.8,80.24,2.011,0,ASML_PAS5500,30.03,79.3,107.5,62.8,91.24,22.6,2,1,AMAT_DPSII,49.4,60.9,790.6,72.7,100.7,9.97,3.15,88.34,2,0,IRIDIA_RF,1551.8,232.6,193.0,0.171,0,AXCELIS_OPTIMA,997928778152313.0,39.09,7.0,14.44,82.95,0,MATTSON_HELIOS,1045.3,75.72,8.0,86.4,0,EBARA_FREX,3.6,57.6,189.3,87.6,97.36,18.24,2.45,8,0,AMAT_ENDURA,13.04,45.3,2.83,154.42,1.817,82.99,0,SEMITOOL_EQUINOX,22.62,26.4,7.46,128.7,0,306.0,0,ASM_XP_PLUS,8.41,30.3,1.74,9.69,90.97,Good,0,41.8355,93.91,0.3416,0.992,9.846,1,0
240,BATCH_010,10,Afternoon,DISCO_DSC2,725.1,0.04,5.4,0,AKRION_GAMMA,77.9,596.0,78.4,27.1,13,0.867,0,TEL_INDY_PLUS,997.5,55.5,4.9,92.43,7.57,,2,0,AMAT_PRODUCER,751.7,255.7,100.75,491.5,80.35,2.0,0,ASML_PAS5500,28.99,-45.2,107.3,64.5,89.9,8.5,2,0,AMAT_DPSII,49.5,56.0,837.6,82.45,95.6,10.12,3.29,89.63,1,0,IRIDIA_RF,1547.7,252.2,157.0,0,0,AXCELIS_OPTIMA,1023819205827115.0,39.73,7.39,14.92,73.34,0,MATTSON_HELIOS,1058.9,76.95,9.7,88.17,0,EBARA_FREX,4.41,60.7,206.2,75.6,128.19,13.79,2.37,6,0,AMAT_ENDURA,11.12,45.2,3.32,151.23,1.786,79.22,0,SEMITOOL_EQUINOX,19.39,25.4,7.59,116.2,0,307.1,0,ASM_XP_PLUS,7.97,27.6,1.97,10.72,89.41,Good,0,36.0051,93.49,0.3396,1.024,10.13,0,0
241,BATCH_010,10,Morning,DISCO_DSC2,719.7,0.83,2.7,0,AKRION_GAMMA,76.6,605.0,77.9,27.6,10,0.713,0,TEL_INDY_PLUS,997.5,70.2,4.86,109.05,9.05,2.86,4,1,AMAT_PRODUCER,736.5,252.5,94.03,513.2,78.44,2.039,0,ASML_PAS5500,29.77,-7.6,106.6,57.2,90.27,7.7,3,0,AMAT_DPSII,44.0,58.0,783.2,76.67,103.2,10.13,3.23,90.15,6,0,IRIDIA_RF,1425.2,234.8,169.0,0.512,1,AXCELIS_OPTIMA,976564453275615.0,38.18,7.12,15.76,83.12,0,MATTSON_HELIOS,1034.5,78.45,9.1,81.57,0,EBARA_FREX,4.36,58.5,241.6,94.0,129.59,8.37,2.26,3,0,AMAT_ENDURA,10.73,51.9,2.76,150.3,1.907,77.44,0,SEMITOOL_EQUINOX,19.88,25.7,8.08,130.6,1,278.1,0,ASM_XP_PLUS,8.2,32.5,1.95,10.5,89.86,Good,0,38.3003,93.04,0.3399,0.995,10.103,2,1
242,BATCH_010,10,Afternoon,DISCO_DSC2,719.6,2.54,3.0,0,AKRION_GAMMA,77.0,605.0,75.8,34.3,5,0.65,0,TEL_INDY_PLUS,989.0,64.1,4.7,101.21,1.21,2.81,3,0,AMAT_PRODUCER,732.3,266.0,95.61,494.9,77.59,2.01,0,ASML_PAS5500,30.71,34.9,112.0,58.3,90.02,4.9,3,0,AMAT_DPSII,43.9,64.4,798.4,82.76,97.1,9.78,2.99,88.1,2,0,IRIDIA_RF,1395.6,241.4,188.0,0.213,0,AXCELIS_OPTIMA,945003279035266.0,40.11,6.44,14.94,83.17,0,MATTSON_HELIOS,1056.9,74.82,10.3,87.94,0,EBARA_FREX,4.57,58.4,216.0,94.8,143.53,4.79,2.11,7,0,AMAT_ENDURA,12.62,52.7,3.02,150.86,1.823,86.74,0,SEMITOOL_EQUINOX,20.12,24.7,7.62,130.5,1,255.7,0,ASM_XP_PLUS,8.04,28.9,2.03,10.39,92.18,Good,0,46.4456,96.5,0.3401,0.983,9.778,0,0
243,BATCH_010,10,Afternoon,DISCO_DSC2,722.2,0.09,7.1,0,AKRION_GAMMA,77.7,649.0,75.8,33.7,0,0.31,0,TEL_INDY_PLUS,1000.4,55.4,5.11,94.75,5.25,2.69,5,0,AMAT_PRODUCER,770.3,260.6,90.96,496.2,86.56,2.014,1,ASML_PAS5500,30.2,43.9,108.2,62.7,86.81,8.8,4,0,AMAT_DPSII,44.3,64.0,820.5,76.61,124.3,9.76,3.44,88.05,2,0,IRIDIA_RF,1443.1,211.9,198.0,0,0,AXCELIS_OPTIMA,1071082682170395.0,39.71,6.86,14.36,74.56,0,MATTSON_HELIOS,1052.8,76.28,10.4,83.62,0,EBARA_FREX,5.1,58.4,196.0,88.6,159.64,3.93,2.58,5,0,AMAT_ENDURA,11.56,49.7,3.01,153.5,1.811,86.46,0,SEMITOOL_EQUINOX,21.63,24.5,7.05,128.9,2,319.2,0,ASM_XP_PLUS,7.95,25.9,1.88,9.66,91.93,Good,0,45.8991,99.91,0.341,1.143,10.071,1,1
244,BATCH_010,10,Afternoon,DISCO_DSC2,724.6,2.11,2.0,0,AKRION_GAMMA,78.9,607.0,79.3,32.8,11,0.514,0,TEL_INDY_PLUS,1001.8,63.0,4.55,102.5,2.5,1.83,3,0,AMAT_PRODUCER,754.1,230.5,94.54,506.8,79.18,2.029,0,ASML_PAS5500,29.19,42.4,110.9,63.0,91.84,5.8,3,0,AMAT_DPSII,48.2,67.6,797.8,85.61,80.4,9.62,3.02,88.51,2,0,IRIDIA_RF,1453.5,263.1,177.0,0,0,AXCELIS_OPTIMA,1015632387976028.0,40.17,6.72,14.2,75.41,0,MATTSON_HELIOS,1066.5,72.9,10.4,92.17,0,EBARA_FREX,4.39,55.8,207.1,84.1,131.22,4.52,2.51,4,0,AMAT_ENDURA,11.93,52.4,2.77,149.15,1.848,91.03,0,SEMITOOL_EQUINOX,19.08,24.5,7.86,112.1,0,260.2,0,ASM_XP_PLUS,7.55,29.0,2.26,10.34,90.69,Good,0,51.0078,93.69,0.3394,0.894,9.443,0,0
245,BATCH_010,10,Night,DISCO_DSC2,723.2,1.69,2.3,0,AKRION_GAMMA,77.1,574.0,80.8,31.1,12,0.46,0,TEL_INDY_PLUS,998.8,59.8,4.87,99.83,0.17,2.94,9,0,AMAT_PRODUCER,741.4,263.6,87.84,468.5,80.46,2.001,0,ASML_PAS5500,31.18,65.3,109.0,58.8,91.65,3.3,3,0,AMAT_DPSII,49.9,57.5,809.3,73.56,95.6,10.11,2.32,90.16,0,0,IRIDIA_RF,1589.1,220.1,186.0,0.319,0,AXCELIS_OPTIMA,1054020915396834.0,39.72,7.02,15.7,75.39,0,MATTSON_HELIOS,1071.5,74.02,8.4,93.63,0,EBARA_FREX,4.58,60.1,214.0,78.4,139.78,7.76,2.3,7,0,AMAT_ENDURA,12.16,49.8,2.45,137.95,1.824,78.33,0,SEMITOOL_EQUINOX,18.27,26.5,7.79,127.2,0,290.8,0,ASM_XP_PLUS,7.94,31.5,1.83,11.19,86.5,Good,0,37.7158,93.19,0.3388,0.989,9.943,0,0
246,BATCH_010,10,Morning,DISCO_DSC2,721.4,1.15,0.2,0,AKRION_GAMMA,78.8,568.0,78.4,32.9,11,0.346,0,TEL_INDY_PLUS,1005.8,67.3,5.12,108.54,8.54,2.86,5,1,AMAT_PRODUCER,767.2,272.9,96.36,459.4,82.39,1.988,0,ASML_PAS5500,31.16,-32.9,108.0,66.5,88.36,4.7,7,0,AMAT_DPSII,46.2,60.8,772.2,77.5,95.7,10.02,2.38,90.04,5,0,IRIDIA_RF,1549.1,242.9,188.0,0.159,0,AXCELIS_OPTIMA,968467746254798.0,41.07,7.65,14.19,83.88,0,MATTSON_HELIOS,1046.1,71.86,10.5,83.11,0,EBARA_FREX,4.59,61.0,199.8,94.0,143.1,3.95,2.18,5,0,AMAT_ENDURA,12.49,51.8,2.17,149.05,1.876,87.34,0,SEMITOOL_EQUINOX,19.53,25.2,8.26,104.8,0,303.8,0,ASM_XP_PLUS,7.86,31.7,1.98,10.63,91.73,Good,0,41.7094,93.86,0.3397,0.944,10.184,1,0
247,BATCH_010,10,Afternoon,DISCO_DSC2,725.2,1.48,0.3,0,AKRION_GAMMA,80.2,623.0,79.0,38.3,21,0.213,0,TEL_INDY_PLUS,997.1,61.8,5.0,101.66,1.66,2.31,9,0,AMAT_PRODUCER,738.6,242.3,97.01,500.8,80.43,2.028,0,ASML_PAS5500,29.33,22.6,111.5,64.0,88.27,9.5,7,0,AMAT_DPSII,44.9,58.5,822.7,93.83,115.1,10.03,2.54,88.72,4,0,IRIDIA_RF,1465.3,248.9,174.0,0,0,AXCELIS_OPTIMA,986343337371042.0,40.28,7.05,15.74,82.71,0,MATTSON_HELIOS,1062.0,74.26,11.8,89.82,0,EBARA_FREX,4.12,62.4,192.4,88.0,123.12,8.33,2.39,4,0,AMAT_ENDURA,11.47,48.5,2.51,153.47,1.767,85.24,0,SEMITOOL_EQUINOX,18.94,24.0,8.35,123.6,1,263.0,0,ASM_XP_PLUS,7.86,27.8,1.96,10.92,92.41,Good,0,38.892,84.66,0.3393,1.103,10.204,0,0
248,BATCH_010,10,Night,DISCO_DSC2,720.7,0.48,1.0,0,AKRION_GAMMA,77.9,650.0,79.3,35.8,14,0.542,0,TEL_INDY_PLUS,992.9,61.4,4.94,100.46,0.46,3.36,8,0,AMAT_PRODUCER,767.6,257.2,111.41,477.3,79.76,2.041,0,ASML_PAS5500,27.98,-93.7,108.2,64.6,89.51,8.0,8,0,AMAT_DPSII,47.5,64.5,780.8,83.07,95.7,9.81,2.19,88.3,6,0,IRIDIA_RF,1487.6,256.5,179.0,0,0,AXCELIS_OPTIMA,974424761338881.0,38.04,6.86,15.48,81.26,0,MATTSON_HELIOS,1064.8,65.46,9.9,90.52,0,EBARA_FREX,5.12,62.0,204.2,82.0,156.61,9.58,1.66,3,0,AMAT_ENDURA,12.36,47.1,3.42,155.6,1.852,85.67,0,SEMITOOL_EQUINOX,19.8,25.1,7.78,125.2,1,297.6,0,ASM_XP_PLUS,7.76,27.7,1.7,10.4,87.84,Good,0,46.5831,92.99,0.3399,0.955,9.858,0,0
249,BATCH_010,10,Morning,DISCO_DSC2,722.5,1.74,6.1,0,AKRION_GAMMA,80.0,598.0,77.8,26.4,7,0.263,0,TEL_INDY_PLUS,998.4,66.3,5.09,104.84,4.84,2.71,6,0,AMAT_PRODUCER,767.8,278.8,101.55,522.7,77.75,2.035,0,ASML_PAS5500,29.94,45.7,110.3,62.5,89.2,11.1,5,0,AMAT_DPSII,41.1,69.0,779.5,82.29,104.2,9.59,3.79,87.71,1,0,IRIDIA_RF,1449.3,236.8,174.0,0.085,0,AXCELIS_OPTIMA,968187046725912.0,39.71,7.95,14.72,84.64,0,MATTSON_HELIOS,1054.4,79.91,9.4,90.95,0,EBARA_FREX,4.58,61.5,175.7,97.1,150.76,8.64,1.74,5,0,AMAT_ENDURA,12.1,50.4,2.71,151.49,1.704,82.95,0,SEMITOOL_EQUINOX,18.88,24.5,7.49,114.0,1,315.2,0,ASM_XP_PLUS,8.52,32.4,1.92,9.97,85.71,Good,0,53.1129,92.5,0.3393,0.995,9.667,0,0
250,BATCH_010,10,Night,DISCO_DSC2,717.6,1.05,0.5,0,AKRION_GAMMA,79.0,583.0,76.4,29.8,14,0.706,0,TEL_INDY_PLUS,1011.7,65.3,5.43,108.25,8.25,2.65,5,1,AMAT_PRODUCER,779.8,272.5,107.53,531.6,77.59,2.006,0,ASML_PAS5500,29.58,74.3,110.8,59.5,92.39,7.0,6,0,AMAT_DPSII,43.3,54.9,762.4,91.33,91.2,10.33,2.81,87.17,7,0,IRIDIA_RF,1518.3,243.2,185.0,0,0,AXCELIS_OPTIMA,999959615890229.0,41.5,6.88,14.92,79.14,0,MATTSON_HELIOS,1052.0,72.9,12.0,85.72,0,EBARA_FREX,4.62,58.7,173.9,86.6,142.32,4.74,1.94,3,0,AMAT_ENDURA,12.32,52.4,3.2,149.34,2.058,81.26,0,SEMITOOL_EQUINOX,19.02,25.7,8.36,143.4,2,297.6,0,ASM_XP_PLUS,8.49,28.4,2.19,9.51,88.04,Good,0,34.7908,92.0,0.3394,0.91,10.083,1,0
251,BATCH_011,11,Afternoon,DISCO_DSC1,725.7,1.75,0.7,0,SEZ_DV_LL,80.4,547.0,77.6,30.9,13,0.272,0,TEL_INDY_PLUS,1008.9,67.2,5.1,107.39,7.39,2.46,4,0,AMAT_PRODUCER,756.0,240.5,99.59,480.4,74.52,2.012,0,ASML_PAS5500,26.94,-5.7,108.6,64.4,89.13,1.6,4,0,LAM_9400_TCP,42.0,64.1,787.3,69.98,100.5,9.82,2.98,87.01,3,0,IRIDIA_RF,1355.6,246.7,170.0,0.315,0,AMAT_QUANTUMX,1006290043302703.0,40.01,6.3,15.21,80.55,0,TEL_RTP,1045.3,74.26,8.7,82.2,0,AMAT_MIRRA,4.27,59.8,188.5,87.3,123.5,12.67,2.1,4,0,ULVAC_ENTRON,12.17,51.5,3.12,147.99,1.921,79.54,0,SEMITOOL_EQUINOX,19.31,25.5,8.42,122.8,0,344.9,0,AMAT_ENDURA_PVD,9.46,31.8,1.78,10.01,88.14,Good,0,46.0352,87.74,0.3395,0.987,9.905,0,0
252,BATCH_011,11,Morning,DISCO_DSC1,723.0,0.03,3.5,0,SEZ_DV_LL,78.3,636.0,78.3,27.9,14,0.425,0,TEL_INDY_PLUS,1000.7,55.6,4.72,94.24,5.76,2.55,6,0,AMAT_PRODUCER,735.3,276.4,101.01,468.8,82.01,2.008,0,ASML_PAS5500,32.28,117.1,110.4,60.2,95.08,15.9,6,0,LAM_9400_TCP,50.0,61.2,806.2,76.18,81.1,9.93,3.07,88.46,6,0,IRIDIA_RF,1551.5,239.7,192.0,0.484,0,AMAT_QUANTUMX,1021741524277342.0,39.96,7.06,14.12,80.8,0,TEL_RTP,1045.8,75.94,10.2,81.68,0,AMAT_MIRRA,4.61,61.6,220.3,102.7,142.82,21.39,2.3,5,0,ULVAC_ENTRON,12.33,51.2,3.55,147.33,1.807,83.45,0,SEMITOOL_EQUINOX,22.74,25.9,7.76,112.4,1,287.3,0,AMAT_ENDURA_PVD,7.5,30.1,2.06,10.01,86.36,Good,0,42.2157,92.91,0.3416,0.908,9.426,0,0
253,BATCH_011,11,Afternoon,DISCO_DSC1,724.6,0.14,2.5,0,SEZ_DV_LL,76.6,589.0,77.4,30.8,13,0.416,0,TEL_INDY_PLUS,996.8,50.4,5.21,91.74,8.26,2.32,5,1,AMAT_PRODUCER,774.5,240.0,90.94,521.9,80.22,2.01,0,ASML_PAS5500,27.42,17.2,112.1,56.2,88.32,9.7,8,0,LAM_9400_TCP,42.9,61.9,791.5,90.28,95.6,9.92,3.6,87.43,1,0,IRIDIA_RF,1311.3,249.0,160.0,0,0,AMAT_QUANTUMX,1018669405121481.0,39.51,7.56,15.73,78.56,0,TEL_RTP,1062.4,77.76,9.2,92.47,0,AMAT_MIRRA,4.62,61.1,213.0,88.6,143.85,10.87,1.98,6,0,ULVAC_ENTRON,11.89,46.3,2.97,147.12,1.773,82.02,0,SEMITOOL_EQUINOX,21.86,24.2,7.17,129.7,0,250.0,0,AMAT_ENDURA_PVD,8.22,30.2,1.72,10.08,86.58,Good,0,43.1135,91.54,0.3411,0.967,10.087,1,1
